2026-04-07 10:10:23,416 - api - INFO - FastAPI crawler service starting
2026-04-07 10:10:34,585 - priority_calculator - WARNING - HTTP 403 for category 5030, region 7
2026-04-07 10:10:34,585 - priority_calculator - WARNING - HTTP 403 for category 5030, region 9
2026-04-07 10:10:34,586 - priority_calculator - WARNING - HTTP 403 for category 5030, region 8
2026-04-07 10:10:34,595 - priority_calculator - WARNING - No ads found for category 11010, region 11
2026-04-07 10:10:34,595 - priority_calculator - INFO - No ads available for category 11010, region 11
2026-04-07 10:10:34,602 - priority_calculator - WARNING - HTTP 403 for category 5030, region 4
2026-04-07 10:10:34,603 - priority_calculator - WARNING - HTTP 403 for category 5030, region 11
2026-04-07 10:10:34,604 - priority_calculator - WARNING - HTTP 403 for category 5030, region 13
2026-04-07 10:10:34,606 - priority_calculator - INFO - Route Điện thoại in Tp Hồ Chí Minh: avg_interval=63.00s, priority=250
2026-04-07 10:10:34,606 - priority_calculator - WARNING - HTTP 403 for category 5030, region 12
2026-04-07 10:10:34,607 - priority_calculator - WARNING - HTTP 403 for category 5030, region 5
2026-04-07 10:10:34,608 - priority_calculator - WARNING - HTTP 403 for category 5030, region 10
2026-04-07 10:10:34,609 - priority_calculator - WARNING - HTTP 403 for category 5050, region 1
2026-04-07 10:10:34,610 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Tây Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,613 - priority_calculator - WARNING - HTTP 403 for category 5030, region 6
2026-04-07 10:10:34,615 - priority_calculator - WARNING - HTTP 403 for category 5050, region 6
2026-04-07 10:10:34,616 - priority_calculator - WARNING - HTTP 403 for category 5050, region 13
2026-04-07 10:10:34,616 - priority_calculator - WARNING - HTTP 403 for category 5050, region 11
2026-04-07 10:10:34,617 - priority_calculator - WARNING - HTTP 403 for category 5050, region 12
2026-04-07 10:10:34,617 - priority_calculator - WARNING - HTTP 403 for category 5050, region 8
2026-04-07 10:10:34,618 - priority_calculator - WARNING - HTTP 403 for category 5060, region 1
2026-04-07 10:10:34,619 - priority_calculator - WARNING - HTTP 403 for category 5050, region 3
2026-04-07 10:10:34,619 - priority_calculator - WARNING - HTTP 403 for category 5050, region 7
2026-04-07 10:10:34,619 - priority_calculator - WARNING - HTTP 403 for category 5060, region 3
2026-04-07 10:10:34,620 - priority_calculator - INFO - Route Đồng hồ in Tây Nguyên: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,622 - priority_calculator - WARNING - HTTP 403 for category 5060, region 2
2026-04-07 10:10:34,623 - priority_calculator - WARNING - HTTP 403 for category 5060, region 4
2026-04-07 10:10:34,624 - priority_calculator - WARNING - HTTP 403 for category 5060, region 6
2026-04-07 10:10:34,625 - priority_calculator - WARNING - HTTP 403 for category 5060, region 5
2026-04-07 10:10:34,627 - priority_calculator - WARNING - HTTP 403 for category 5060, region 10
